Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option1 Linked To	Option2 Name	Option2 Value	Option2 Linked To	Option3 Name	Option3 Value	Option3 Linked To	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Unit Price Total Measure	Unit Price Total Measure Unit	Unit Price Base Measure	Unit Price Base Measure Unit	Variant Barcode	Image Src	Image Position
3ft-two-tone-artificial-plant-in-shiny-ceramic-chalk-vase	3ft Two-Tone Artificial Plant in Shiny Ceramic Chalk Vase	"<h3 data-start=""549"" data-end=""568""><strong data-start=""553"" data-end=""568"">âœ¨ Features:</strong></h3>
<ul data-start=""569"" data-end=""947"">
<li data-start=""569"" data-end=""611"">
<p data-start=""571"" data-end=""611""><strong data-start=""571"" data-end=""609"">3 ft tall premium artificial plant</strong></p>
</li>
<li data-start=""612"" data-end=""667"">
<p data-start=""614"" data-end=""667""><strong data-start=""614"" data-end=""665"">Two-shaded lush green leaves for a natural look</strong></p>
</li>
<li data-start=""668"" data-end=""719"">
<p data-start=""670"" data-end=""719""><strong data-start=""670"" data-end=""717"">Shiny ceramic chalk vase with glossy finish</strong></p>
</li>
<li data-start=""720"" data-end=""774"">
<p data-start=""722"" data-end=""774""><strong data-start=""722"" data-end=""772"">Durable &amp; stable base perfect for indoor dÃ©cor</strong></p>
</li>
<li data-start=""775"" data-end=""835"">
<p data-start=""777"" data-end=""835""><strong data-start=""777"" data-end=""833"">Ready-to-place dÃ©cor piece (no maintenance required)</strong></p>
</li>
<li data-start=""836"" data-end=""903"">
<p data-start=""838"" data-end=""903""><strong data-start=""838"" data-end=""901"">Ideal for living rooms, hallways, offices &amp; reception areas</strong></p>
</li>
<li data-start=""904"" data-end=""947"">
<p data-start=""906"" data-end=""947""><strong data-start=""906"" data-end=""945"">Long-lasting colors that wonâ€™t fade</strong></p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Size	3 ft height									3000	shopify	50	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image31.jpg?v=1763414551	1
3ft-two-tone-artificial-plant-in-shiny-ceramic-chalk-vase																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image30.jpg?v=1763414551	2
3ft-two-tone-artificial-plant-in-shiny-ceramic-chalk-vase																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image29.jpg?v=1763414570	3
artificial-plant-floral-arrangement-in-white-chalk-round-pot	Artificial Plant & Floral Arrangement in White Chalk Round Pot	"<h3 data-start=""565"" data-end=""584""><strong data-start=""569"" data-end=""584"">âœ¨ Features:</strong></h3>
<ul data-start=""585"" data-end=""968"">
<li data-start=""585"" data-end=""636"">
<p data-start=""587"" data-end=""636""><strong data-start=""587"" data-end=""602"">3 ft height</strong> perfect statement dÃ©cor piece</p>
</li>
<li data-start=""637"" data-end=""693"">
<p data-start=""639"" data-end=""693""><strong data-start=""639"" data-end=""664"">White chalk round pot</strong> with a smooth matte finish</p>
</li>
<li data-start=""694"" data-end=""761"">
<p data-start=""696"" data-end=""761""><strong data-start=""696"" data-end=""759"">Mixed plant + floral arrangement for a fuller, premium look</strong></p>
</li>
<li data-start=""762"" data-end=""806"">
<p data-start=""764"" data-end=""806""><strong data-start=""764"" data-end=""804"">Stable base &amp; high-quality materials</strong></p>
</li>
<li data-start=""807"" data-end=""851"">
<p data-start=""809"" data-end=""851""><strong data-start=""809"" data-end=""849"">Zero maintenance colors wonâ€™t fade</strong></p>
</li>
<li data-start=""852"" data-end=""917"">
<p data-start=""854"" data-end=""917""><strong data-start=""854"" data-end=""915"">Ideal for entryways, lounges, offices, and home interiors</strong></p>
</li>
<li data-start=""918"" data-end=""968"">
<p data-start=""920"" data-end=""968""><strong data-start=""920"" data-end=""966"">Ready-to-place dÃ©cor, no assembly required</strong></p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Title	Default Title									3000	shopify	49	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image34.jpg?v=1763414311	1
artificial-plant-floral-arrangement-in-white-chalk-round-pot																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image33.jpg?v=1763414311	2
3-5ft-purple-leaves-artificial-plant-in-black-diamond-chalk-planter	3.5ft Purple Leaves Artificial Plant in Black Diamond Chalk Planter	"<h3 data-start=""570"" data-end=""589""><strong data-start=""574"" data-end=""589"">âœ¨ Features:</strong></h3>
<ul data-start=""590"" data-end=""940"">
<li data-start=""590"" data-end=""634"">
<p data-start=""592"" data-end=""634""><strong data-start=""592"" data-end=""632"">3.5 ft tall premium artificial plant</strong></p>
</li>
<li data-start=""635"" data-end=""692"">
<p data-start=""637"" data-end=""692""><strong data-start=""637"" data-end=""690"">Unique purple PVC rubber leaves for a luxury look</strong></p>
</li>
<li data-start=""693"" data-end=""744"">
<p data-start=""695"" data-end=""744""><strong data-start=""695"" data-end=""742"">Black diamond-cut planter in chalk material</strong></p>
</li>
<li data-start=""745"" data-end=""796"">
<p data-start=""747"" data-end=""796""><strong data-start=""747"" data-end=""794"">Stable, heavy base â€” perfect for indoor use</strong></p>
</li>
<li data-start=""797"" data-end=""842"">
<p data-start=""799"" data-end=""842""><strong data-start=""799"" data-end=""840"">Zero maintenance; long-lasting colors</strong></p>
</li>
<li data-start=""843"" data-end=""901"">
<p data-start=""845"" data-end=""901""><strong data-start=""845"" data-end=""899"">Ideal for living rooms, cafÃ©s, offices &amp; entryways</strong></p>
</li>
<li data-start=""902"" data-end=""940"">
<p data-start=""904"" data-end=""940""><strong data-start=""904"" data-end=""938"">Modern and stylish dÃ©cor piece</strong></p>
</li>
</ul>
<p>Â </p>
<p>Â </p>
<p><strong data-start=""904"" data-end=""938"">artificial plant, purple leaves plant, black diamond planter, chalk planter, indoor decor, tall plant, 3.5ft plant, PVC rubber plant, premium artificial greenery, modern home decor, office decor, aesthetic plant, luxury planter</strong></p>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Size	3.5 ft height		Color	black	product.metafields.shopify.color-pattern					3000	shopify	20	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_04_46_21_PM.png?v=1769255204	1
3-5ft-purple-leaves-artificial-plant-in-black-diamond-chalk-planter									3.5 ft height			white						3000	shopify	20	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_04_49_44_PM.png?v=1769255883	2
minimalist-white-ceramic-donut-vase-with-dried-bunny-tail-grass	Minimalist White Ceramic Donut Vase with Dried Bunny Tail Grass	"<h3 data-start=""807"" data-end=""828""><strong data-start=""811"" data-end=""826"">Features:</strong></h3>
<ul data-start=""829"" data-end=""1131"">
<li data-start=""829"" data-end=""870"">
<p data-start=""831"" data-end=""870""><strong data-start=""831"" data-end=""844"">Material:</strong> Premium quality ceramic</p>
</li>
<li data-start=""871"" data-end=""925"">
<p data-start=""873"" data-end=""925""><strong data-start=""873"" data-end=""884"">Design:</strong> Donut shape with a central hollow ring</p>
</li>
<li data-start=""926"" data-end=""960"">
<p data-start=""928"" data-end=""960""><strong data-start=""928"" data-end=""938"">Color:</strong> Glossy white finish</p>
</li>
<li data-start=""961"" data-end=""1012"">
<p data-start=""963"" data-end=""1012""><strong data-start=""963"" data-end=""978"">Decoration:</strong> Includes dried bunny tail grass</p>
</li>
<li data-start=""1013"" data-end=""1084"">
<p data-start=""1015"" data-end=""1084""><strong data-start=""1015"" data-end=""1031"">Perfect for:</strong> Living room, bedroom, office dÃ©cor, or gift giving</p>
</li>
<li data-start=""1085"" data-end=""1131"">
<p data-start=""1087"" data-end=""1131""><strong data-start=""1087"" data-end=""1097"">Style:</strong> Modern, minimalist, and elegant</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Vases			TRUE	Title	Default Title									0	shopify	10	deny	manual	1800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image8_2.jpg?v=1762250808	1
minimalist-white-ceramic-donut-vase-with-dried-bunny-tail-grass																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image9_1.jpg?v=1762250831	2
5-5-ft-artificial-banana-palm-plant-with-premium-white-pot	5.5 FT Artificial Banana Palm Plant  With Premium White Pot	"<h4 data-end=""867"" data-start=""847""><strong data-end=""867"" data-start=""852"">Features:</strong></h4>
<ul data-end=""1174"" data-start=""868"">
<li data-end=""900"" data-start=""868"">
<p data-end=""900"" data-start=""870"">Height: <strong data-end=""898"" data-start=""878"">5.5 ft (approx.)</strong></p>
</li>
<li data-end=""956"" data-start=""901"">
<p data-end=""956"" data-start=""903"">Type: <strong data-end=""954"" data-start=""909"">High-quality artificial Banana Palm Plant</strong></p>
</li>
<li data-end=""1010"" data-start=""957"">
<p data-end=""1010"" data-start=""959"">Pot: <strong data-end=""1008"" data-start=""964"">White ceramic textured pot with gold rim</strong></p>
</li>
<li data-end=""1058"" data-start=""1011"">
<p data-end=""1058"" data-start=""1013"">Decor: <strong data-end=""1056"" data-start=""1020"">White decorative stones included</strong></p>
</li>
<li data-end=""1095"" data-start=""1059"">
<p data-end=""1095"" data-start=""1061"">Realistic large banana leaves ðŸŒ¿</p>
</li>
<li data-end=""1141"" data-start=""1096"">
<p data-end=""1141"" data-start=""1098"">Premium quality â€“ long-lasting &amp; washable</p>
</li>
<li data-end=""1174"" data-start=""1142"">
<p data-end=""1174"" data-start=""1144""><em data-end=""1172"" data-start=""1144"">Zero maintenance required!</em></p>
</li>
</ul>
<p>Â </p>
<p>Â </p>
<h4 data-end=""1211"" data-start=""1181"">
<strong data-end=""1211"" data-start=""1186"">Why Youâ€™ll Love ItÂ </strong><strong data-end=""1211"" data-start=""1186""></strong>
</h4>
<p data-end=""1373"" data-start=""1212"">âœ” Adds height and greenery instantly<br data-end=""1251"" data-start=""1248"">âœ” Luxurious pot design enhances interior style<br data-end=""1300"" data-start=""1297"">âœ” No watering or sunlight needed<br data-end=""1335"" data-start=""1332"">âœ” Perfect gift for home dÃ©cor lovers</p>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Planter color	White									8000	shopify	13	deny	manual	6500	8000	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_22_2026_04_04_34_PM.png?v=1769079929	1
5-5-ft-artificial-banana-palm-plant-with-premium-white-pot									Black									8000	shopify	10	deny	manual	6500	8000	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_22_2026_04_08_57_PM.png?v=1769080162	2
white-cream-decorative-chalk-pot-with-artificial-flower-arrangement	White & Cream Decorative Chalk Pot with Artificial Flower Arrangement	"<h3 data-start=""941"" data-end=""967""><strong data-start=""945"" data-end=""965"">Key Features:</strong></h3>
<ul data-start=""968"" data-end=""1301"">
<li data-start=""968"" data-end=""994"">
<p data-start=""970"" data-end=""994"">Total height: <strong data-start=""984"" data-end=""992"">2 ft</strong></p>
</li>
<li data-start=""995"" data-end=""1050"">
<p data-start=""997"" data-end=""1050""><strong data-start=""997"" data-end=""1025"">Premium chalk-finish pot</strong> in white &amp; cream tones</p>
</li>
<li data-start=""1051"" data-end=""1105"">
<p data-start=""1053"" data-end=""1105""><strong data-start=""1053"" data-end=""1103"">Ready-to-display decorative flower arrangement</strong></p>
</li>
<li data-start=""1106"" data-end=""1169"">
<p data-start=""1108"" data-end=""1169"">Includes <strong data-start=""1117"" data-end=""1167"">artificial white flowers and soft pampas stems</strong></p>
</li>
<li data-start=""1170"" data-end=""1217"">
<p data-start=""1172"" data-end=""1217""><strong data-start=""1172"" data-end=""1215"">Non-breakable, durable, and lightweight</strong></p>
</li>
<li data-start=""1218"" data-end=""1259"">
<p data-start=""1220"" data-end=""1259"">Ideal for <strong data-start=""1230"" data-end=""1257"">indoor dÃ©cor or gifting</strong></p>
</li>
<li data-start=""1260"" data-end=""1301"">
<p data-start=""1262"" data-end=""1301"">Instantly elevates your interior look</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	stand	With Stand									3000	shopify	10	deny	manual	5800	6500	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image3_7.jpg?v=1761238564	1
white-cream-decorative-chalk-pot-with-artificial-flower-arrangement									Without Stand									3000	shopify	10	deny	manual	5000	6500	TRUE	TRUE							
decorative-purple-chalk-planter-with-gold-metal-stand	Decorative Purple Chalk Planter with Gold Metal Stand	"<h3 data-start=""850"" data-end=""876""><strong data-start=""854"" data-end=""874""> Key Features:</strong></h3>
<ul data-start=""877"" data-end=""1179"">
<li data-start=""877"" data-end=""918"">
<p data-start=""879"" data-end=""918"">Height: <strong data-start=""887"" data-end=""916"">4.75 ft (including stand)</strong></p>
</li>
<li data-start=""919"" data-end=""983"">
<p data-start=""921"" data-end=""983""><strong data-start=""921"" data-end=""959"">Premium-quality decorative planter</strong> with gold metal stand</p>
</li>
<li data-start=""984"" data-end=""1042"">
<p data-start=""986"" data-end=""1042""><strong data-start=""986"" data-end=""1010"">Glossy purple finish</strong> with elegant golden detailing</p>
</li>
<li data-start=""1043"" data-end=""1080"">
<p data-start=""1045"" data-end=""1080""><strong data-start=""1045"" data-end=""1072"">Non-breakable &amp; durable</strong> build</p>
</li>
<li data-start=""1081"" data-end=""1126"">
<p data-start=""1083"" data-end=""1126"">Adds a <strong data-start=""1090"" data-end=""1110"">luxury aesthetic</strong> to any corner<br></p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Lawn & Garden > Gardening > Pots & Planters > Planters			TRUE	Stand	With stand									5000	shopify	8	deny	manual	6500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image5_6.jpg?v=1761238469	1
decorative-purple-chalk-planter-with-gold-metal-stand									With out stand									5000	shopify	10	deny	manual	6500		TRUE	TRUE							
17-leaf-planter-set	17-Leaf Planter Set	"<p><span>Each set includes:</span></p>
<p><span>Â 1 Premium Planter â€“ available in Black or White</span></p>
<p><span>Â 1 Artificial Plant with 17 Leaves â€“ realistic, lush, and maintenance-free</span></p>
<p><span>1 Packet of Decorative Stones â€“ for that perfect finishing touch</span></p>
<p>Â </p>
<p><span>Perfect for bedrooms, living rooms, offices, or cozy corners Â this set instantly elevates any space with its modern, minimal vibe ðŸ¤</span></p>
<p>Â </p>
<p><span>Available Options:</span></p>
<p>Â </p>
<ul>
<li><span>Planter Colors: Black / White</span></li>
<li><span>Leaf Shades: Red / Yellow</span></li>
</ul>
<p>Â </p>"	Cosmo Decorpk	Uncategorized			TRUE	color	Black									2000	shopify	30	deny	manual	2500	3500	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/2F6AD5B3-3495-49EC-94FF-31FAC8A5A577.jpg?v=1760902393	1
17-leaf-planter-set									White									2000	shopify	23	deny	manual	2500	3500	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/IMG-7351.jpg?v=1760902393	2
17-leaf-planter-set																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/WhatsApp_Image_2025-12-10_at_6.17.04_PM.jpg?v=1765385636	3
set-of-3-modern-coffee-tables-black-marble-top-with-golden-metal-legs	Set of 3 Modern Coffee Tables Black Marble Top with Golden Metal Legs	<p>Elevate your living space with this <strong data-start="275" data-end="308">Set of 3 Modern Coffee Tables</strong>, featuring elegant <strong data-start="328" data-end="349">black marble tops</strong> and sleek <strong data-start="360" data-end="381">golden metal legs</strong>. Designed to blend luxury and functionality, these tables add a sophisticated touch to any interior from living rooms to lounges and offices.</p>	Cosmo Decorpk	Furniture > Tables > Accent Tables > Coffee Tables			TRUE	SET	Set of 3									2000	shopify	4	deny	manual	5500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image2_4.jpg?v=1760718827	1
brown-chalk-pot-with-orange-pampas-arrangement	Brown Chalk Pot with Orange Pampas Arrangement	<p>Bring warmth and sophistication into your home with this <strong data-start="298" data-end="356">Brown Chalk Pot featuring an Orange Pampas Arrangement</strong>. The glossy brown ceramic pot, accented with artistic beige streaks, adds an earthy elegance to any interior. Its vibrant orange pampas and lush greenery infuse natural charm, making it an eye-catching centerpiece for your living room, office, or console table.</p>	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	striped	product.metafields.shopify.color-pattern								3000	shopify	0	deny	manual	4500	2000	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image4_8.jpg?v=1760718443	1
modern-yellow-chalk-pot-with-metal-stand-5ft-decorative-plant-arrangement-for-home-office	Modern Yellow Chalk Pot with Metal Stand | 5ft Decorative Plant Arrangement for Home & Office	<p>Add a touch of modern elegance to your space with this <strong data-start="326" data-end="363">Yellow Chalk Pot on a Metal Stand</strong>, standing tall at <strong data-start="382" data-end="392">5 feet</strong>. The vibrant yellow pot paired with lush artificial greenery and soft yellow feathers brings warmth and energy to any interior. The sleek black metal stand adds a minimalist yet classy appeal, making it perfect for living rooms, offices, entryways, or commercial decor</p>	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	stand	with stand									4000	shopify	10	deny	manual	5800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image6_3.jpg?v=1760718051	1
modern-yellow-chalk-pot-with-metal-stand-5ft-decorative-plant-arrangement-for-home-office									Without stand									4000	shopify	10	deny	manual	5000		TRUE	TRUE							
royal-blue-chalk-pot-with-artificial-flower-arrangement	Royal Blue Chalk Pot with Artificial Flower Arrangement	"<h3 data-start=""960"" data-end=""986""><strong data-start=""967"" data-end=""984"">Key Features:</strong></h3>
<ul data-start=""987"" data-end=""1327"">
<li data-start=""987"" data-end=""1056"">
<p data-start=""989"" data-end=""1056""><strong data-start=""989"" data-end=""1002"">Material:</strong> High-quality ceramic pot with a smooth chalk finish</p>
</li>
<li data-start=""1057"" data-end=""1112"">
<p data-start=""1059"" data-end=""1112""><strong data-start=""1059"" data-end=""1069"">Color:</strong> Elegant royal blue with golden detailing</p>
</li>
<li data-start=""1113"" data-end=""1185"">
<p data-start=""1115"" data-end=""1185""><strong data-start=""1115"" data-end=""1131"">Arrangement:</strong> Includes lifelike flowers and soft decorative stems</p>
</li>
<li data-start=""1186"" data-end=""1257"">
<p data-start=""1188"" data-end=""1257""><strong data-start=""1188"" data-end=""1209"">Maintenance-Free:</strong> No care required â€” stays fresh all year round</p>
</li>
<li data-start=""1258"" data-end=""1327"">
<p data-start=""1260"" data-end=""1327""><strong data-start=""1260"" data-end=""1276"">Perfect For:</strong> Living rooms, dining areas, offices, and gifting</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	blue	product.metafields.shopify.color-pattern								0	shopify	9	deny	manual	5500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image5_5.jpg?v=1760717593	1
5-5ft-artificial-banana-plant-in-wooden-pinterest-planter-modern-indoor-decor	5.5FT Artificial Banana Plant in Wooden Pinterest Planter | Modern Indoor DÃ©cor	"<h3 data-start=""957"" data-end=""983"">ðŸŒŸ <strong data-start=""964"" data-end=""981"">Key Features:</strong>
</h3>
<ul data-start=""984"" data-end=""1312"">
<li data-start=""984"" data-end=""1058"">
<p data-start=""986"" data-end=""1058""><strong data-start=""986"" data-end=""997"">Height:</strong> 5.5 feet perfect for floor display and statement corners</p>
</li>
<li data-start=""1059"" data-end=""1123"">
<p data-start=""1061"" data-end=""1123""><strong data-start=""1061"" data-end=""1074"">Material:</strong> Premium PVC leaves with a solid wooden planter</p>
</li>
<li data-start=""1124"" data-end=""1190"">
<p data-start=""1126"" data-end=""1190""><strong data-start=""1126"" data-end=""1137"">Design:</strong> Pinterest-inspired modern dÃ©cor piece for any room</p>
</li>
<li data-start=""1191"" data-end=""1249"">
<p data-start=""1193"" data-end=""1249""><strong data-start=""1193"" data-end=""1214"">Maintenance-Free:</strong> No watering or sunlight required</p>
</li>
<li data-start=""1250"" data-end=""1312"">
<p data-start=""1252"" data-end=""1312""><strong data-start=""1252"" data-end=""1266"">Ideal For:</strong> Living rooms, offices, lounges, or hallways</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Title	Default Title									3000	shopify	10	deny	manual	10000		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_05_21_42_PM.png?v=1769257740	1
5-5ft-artificial-banana-plant-in-wooden-pinterest-planter-modern-indoor-decor																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image7_5.jpg?v=1769257740	2
tall-black-gold-floor-vase-with-artificial-green-arrangement	Tall Black & Gold Floor Vase with Artificial Green Arrangement	"<p data-start=""457"" data-end=""474""><strong data-start=""459"" data-end=""472"">Features:</strong></p>
<ul data-start=""475"" data-end=""684"">
<li data-start=""475"" data-end=""534"">
<p data-start=""477"" data-end=""534"">Premium tall vase with black matte texture and gold rim</p>
</li>
<li data-start=""535"" data-end=""590"">
<p data-start=""537"" data-end=""590"">Includes artificial green leaves (maintenance-free)</p>
</li>
<li data-start=""591"" data-end=""639"">
<p data-start=""593"" data-end=""639"">Ideal for corners, hallways, or living rooms</p>
</li>
<li data-start=""640"" data-end=""684"">
<p data-start=""642"" data-end=""684"">Adds a luxury accent to modern interiors</p>
</li>
</ul>
<p data-start=""686"" data-end=""716"">ðŸ“ <strong data-start=""689"" data-end=""707"">Approx Height:</strong> 4.5 ft</p>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Title	Default Title									1000	shopify	28	deny	manual	3800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_05_07_16_PM.png?v=1769256477	1
elegant-ceramic-bowl-flower-arrangement-with-metal-stand	Elegant Ceramic Bowl Flower Arrangement with Metal Stand	"<p data-start=""574"" data-end=""591""><strong data-start=""576"" data-end=""589"">Features:</strong></p>
<ul data-start=""592"" data-end=""787"">
<li data-start=""592"" data-end=""643"">
<p data-start=""594"" data-end=""643"">Premium quality ceramic pot with gold detailing</p>
</li>
<li data-start=""644"" data-end=""690"">
<p data-start=""646"" data-end=""690"">Elegant metal stand for a modern aesthetic</p>
</li>
<li data-start=""691"" data-end=""743"">
<p data-start=""693"" data-end=""743"">Artificial floral arrangement (maintenance-free)</p>
</li>
<li data-start=""744"" data-end=""787"">
<p data-start=""746"" data-end=""787"">Ideal for home, offices, or event dÃ©cor</p>
</li>
</ul>
<p data-start=""789"" data-end=""819"">ðŸ“ <strong data-start=""792"" data-end=""810"">Approx Height:</strong> 4.5 ft</p>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	STAND	with stand									3000	shopify	16	deny	manual	6500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_22_2026_04_26_45_PM.png?v=1769081433	1
elegant-ceramic-bowl-flower-arrangement-with-metal-stand									Without stand									3000	shopify	20	deny	manual	5500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image2_3.jpg?v=1769081433	2
elegant-ceramic-bowl-flower-arrangement-with-metal-stand																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_22_2026_04_29_44_PM.png?v=1769081405	3
add-a-touch-of-luxury-and-color-to-your-space-with-this-stunning-led-crystal-lamp	Add a touch of luxury and color to your space with this stunning LED crystal lamp	"<p data-start=""261"" data-end=""363"">Features:</p>
<ul data-start=""364"" data-end=""565"">
<li data-start=""364"" data-end=""417"">
<p data-start=""366"" data-end=""417"">Multi-color changing light (controlled by remote)</p>
</li>
<li data-start=""418"" data-end=""474"">
<p data-start=""420"" data-end=""474"">Elegant crystal-cut design that sparkles beautifully</p>
</li>
<li data-start=""475"" data-end=""509"">
<p data-start=""477"" data-end=""509"">USB rechargeable / plug-in use</p>
</li>
<li data-start=""510"" data-end=""565"">
<p data-start=""512"" data-end=""565"">Perfect for bedrooms, side tables, or dÃ©cor corners</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Lighting > Night Lights & Ambient Lighting			TRUE	Title	Default Title									500	shopify	8	deny	manual	1500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image4_5.jpg?v=1759912512	1
modern-touch-sensor-led-table-lamp-dimmable-rechargeable-bedside-lamp-for-home-decor	Modern Touch Sensor LED Table Lamp | Dimmable Rechargeable Bedside Lamp for Home Decor	"<p><strong>Key Features:</strong></p>
<ul>
<li>Touch sensor control for easy on/off and brightness adjustment</li>
<li>3 lighting modes: warm, neutral, and cool white</li>
<li>Modern metallic body with premium finish</li>
<li>Rechargeable and wireless for flexible use</li>
<li>Long-lasting LED light with soft illumination</li>
<li>Ideal for bedrooms, living rooms, or dining tables</li>
</ul>"	Cosmo Decorpk	Home & Garden > Lighting > Lamps > Table Lamps			TRUE	Title	Default Title									500	shopify	20	deny	manual	1600	1800	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image8_1.jpg?v=1759912124	1
artificial-blossom-tree-4-75-ft-cherry-blossom-floor-plant-for-home-event-decor	Artificial Blossom Tree 4.75 ft | Cherry Blossom Floor Plant for Home & Event Decor	"<p><strong>Key Features:</strong></p>
<ul>
<li>Height: 4.75 ft (approx.)</li>
<li>Available in 3 elegant colors â€“ yellow, purple, and pink</li>
<li>Realistic blossoms with soft, full petals</li>
<li>Comes with a durable decorative pot</li>
<li>Ideal for living rooms, weddings, and photo corners</li>
<li>Maintenance-free and reusable for years</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Trees			TRUE	Color	pink	product.metafields.shopify.color-pattern								3000	shopify	8	deny	manual	6500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image3_3.jpg?v=1759911416	1
artificial-blossom-tree-4-75-ft-cherry-blossom-floor-plant-for-home-event-decor									purple									3000	shopify	10	deny	manual	6500		TRUE	TRUE							
artificial-blossom-tree-4-75-ft-cherry-blossom-floor-plant-for-home-event-decor									yellow									3000	shopify	10	deny	manual	6500		TRUE	TRUE							
green-shade-touch-sensor-table-lamp-3-light-modes-modern-gold-bedside-lamp	Green Shade Touch Sensor Table Lamp | 3 Light Modes Modern Gold Bedside Lamp	"<p><strong>Key Features:</strong></p>
<ul>
<li>Premium metallic gold base with smooth finish</li>
<li>Pleated lampshade for soft, diffused lighting</li>
<li>Ideal for bedroom, study, or side table decor</li>
<li>Compact and lightweight for easy placement</li>
<li>Plug-in power with on/off button for convenience</li>
</ul>"	Cosmo Decorpk	Home & Garden > Lighting > Lamps > Table Lamps			TRUE	Title	Default Title									500	shopify	9	deny	manual	3000		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image4_6.jpg?v=1759911197	1
